Issue ID,Issue Summary,Issue Description,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71
MDL-61275,Collection of issues that capture the changes required to the user sign up process to comply with GDPR,To be released as a plugin with subsequent integration into core for Moodle 3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61297,A new popup for showing the policy links to guests,"If enabled, show guest users a popup (similar to the one used for cookie-law notifications commonly), for showing the policy links which affect them.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61302,Add the workflow for allowing users to agree to the policies,Change the workflow for allowing users to agree to the policies if needed.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61308,Implement 'request' interface for mod_assign,This is an issue to track the creation of a prototype PHP Interface for {{\core\privacy\request}} as the API negotiating Subject Access Requests in the assignment module.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61397,Implement providers for non-data blocks,Implement the privacy provider API for blocks which have no real data.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61407,Implement providers for mod_quiz,Attempt to write mod_quiz providers for the in-progress SAR API.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61463,Confirm subsystems without paths can be skipped,"The compliance check in the dataprivacy tool (MDL-61489) currently skips these components based on an empty path. Strictly speaking, they are still components.



We really need to consider whether we need to review and create providers for such components and how we'd do so (lib/classes/ ? ) 



The full list is:

access

bulkusers

countries

currencies

dbtransfer

debug

edufields

error

filepicker

help

hub

imscc

install

iso6392

langconfig

license

mathslib

mimetypes

pagetype

pix

plugin

table

timezones

userkey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MDL-61475,Implement providers for mod_choice,Attempt to write mod_choice providers for the in-progress SAR API.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61568,Implement core_privacy for repositories and core_repository,Let's take a look at repositories and see if we can fully implement the {{core_privacy}} API for at least one.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61579,Implement all actions for the site_policy_handler callback,"In MDL-61477 there has been added the actions parameter to the site_policy_handler callback: https://tracker.moodle.org/browse/MDL-61477?focusedCommentId=527229&page=com.atlassian.jira.plugin.system.issuetabpanels%3Acomment-tabpanel#comment-527229



So it's needed to add all these actions to the tool_policy.



",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61597,Implement core_privacy for calendar types,Implement core_privacy for calendar types,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61618,Connect the Data Privacy tool to the subsystem's manager to facilitate data export,"Here's what needs to be done:



1. New table 'tool_dataprivacy_request_contexts' to hold contexts for a given request

Should have cols:

- requestid

- component

- contextid

- status (for now: pending, approved, rejected but allow for more)



2. New constants in the api class to hold the context statuses above (pending , approved, rejected etc)

3. 'New request made' adhoc task updates:

- generate the contextlist_collection

- for each contextlist:

** store the component, context, etc in 'tool_dataprivacy_request_contexts' table

- progress the request (current code does this already)



4. At the point of approving (before scheduling the adhoc task):

- set status of all respective contexts in the table to 'approved' (may evolve to a UI control eventually)



5. 'Request approved' adhoc task updates:

- fetch list of approved contexts (those with status 'approved')

- reassemble a contextlist collection for these using approved_contextlist instead of contextlist.

- pass to manager->export()

- TODO: consider how to 'mop up' the contexts in the 'tool_dataprivacy_request_contexts' table. Do we do now or later? (scheduled task ?)



Note: This work should be based on the tool: [https://github.com/moodlehq/moodle-tool_dataprivacy] and on -MDL-61307- work.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61629,Implement core_privacy for message airnotifier.,Let's take a look at messages and see if we can fully implement the {{core_privacy}} API for at least one.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61635,Add bypass for Protected state when deleting user data,"This is currently a high-priority ice-cream feature.



The intention is that the deletion will currently _not_ delete any context data which is makred as ""Protected"" whilst it is still within the retention period.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61637,Use a context-children-based method to retrieve the list of course blocks,"tool_dataprivacy is currently fetching blocks using get_course_blocks external function, which retrieves blocks instances ready to be displayed, we want access to all block instances regardless of their contents being visible to users.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61652,Allow configuration as to who can download SAR data,"""The admin needs to be able to enable the data extract for a user, however does not want to allow users to request from within Moodle - as the organisation has a centralised request process.""







As noted by [~mikehughes],

{quote}This would suggest that there should be:

# a mechanism to prevent the automatic distribution of the exported data to the Data Subject.

# a ""Download Option"" on the DPO actions,

# a ""refresh/re-export"" mechanism.{quote}

To that end, lets:

* create a {{tool_dataprivacy/downloadownrequest}} capability applied to authenticated users;

* create a {{tool_dataprivacy/downloadallrequests}} capability not given as standard;

* check the caps as relevant



",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDL-61653,Write Web Services to service SARs,We need to write WS to serve the SARs to allow better integration with other systems.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
