Requirement#,Frequency
R1,186
R2,0
R3,0
R4,0
R5,2
R6,1
R7,0
R8,21
R9,0
R10,0
R11,4
R12,0
R13,2
R14,0
R15,0
R16,0
R17,2
R18,0
R19,8
R20,5
R21,2
R22,0
R23,0
R24,9
R25,0
R26,43
R27,0
R28,3
R29,0
R30,42
R31,0
R32,8
R33,0
R34,57
R35,161
R36,5
R37,0
R38,112
R39,7
R40,1
R41,1
R42,109
R43,3
R44,194
R45,15
R46,0
R47,2
R48,2
R49,1
R50,0
R51,3
R52,5
R53,22
R54,12
R55,4
R56,150
R57,3
R58,9
R59,17
R60,40
R61,0
R62,0
R63,2
R64,0
R65,0
R66,0
R67,0
R68,0
R69,0
R70,0
R71,0
