Issue ID,Issue,Issue description,#Comments,Reported date,Fixed date,DateDiff(Days),Issue Type,Priority,#Contributors
MDL-39512,Disable the manual graded behaviour in the UI (backport of MDL-39412),"Backport disabling manual graded question behaviour for all installs (Can be re-enabled if really really required).

",11,6/5/2013,14/6/2013,39,Improvement,Critical,7
MDL-39563,mobilecssurl is not being returned in WebService get_siteinfo function,"Go to Site administration / ► Plugins / ► Web services / ► Mobile

Add a valid url in the mobilecssurlfield

Call the get_siteinfo WS function, in the result you will notice that mobilecssurl field is empty:

{""sitename"":""XXXX"",""username"":""student01"",""firstname"":""Student"",""lastname"":""Demo"",""fullname"":""Student Demo"",""lang"":""en"",""userid"":3,""siteurl"":""http:\/\/xxxx\/moodle24"",""userpictureurl"":""http:\/\/xxxx\/moodle24\/pluginfile.php\/19\/user\/icon\/f1"",""functions"":[{""name"":""moodle_enrol_get_users_courses"",""version"":""2012120300.06""},{""name"":""moodle_enrol_get_enrolled_users"",""version"":""2012120300.06""},{""name"":""moodle_user_get_users_by_id"",""version"":""2012120300.06""},{""name"":""moodle_webservice_get_siteinfo"",""version"":""2012120300.06""},{""name"":""moodle_notes_create_notes"",""version"":""2012120300.06""},{""name"":""moodle_user_get_course_participants_by_id"",""version"":""2012120300.06""},{""name"":""moodle_user_get_users_by_courseid"",""version"":""2012120300.06""},{""name"":""moodle_message_send_instantmessages"",""version"":""2012120300.06""},{""name"":""core_course_get_contents"",""version"":""2012120300.06""},{""name"":""core_get_component_strings"",""version"":""2012120300.06""}],""downloadfiles"":1,""release"":""2.4+ (Build: 20121230)"",""version"":""2012120300.06"",""mobilecssurl"":""""}
",9,8/5/2013,19/7/2013,72,Bug,Major,4
MDL-39697,Bootstrapbase $THEME->layouts need 'Maintenance' and is missing important options.,"After a chance comment by [~phalacee] in MDL-39573, and on inspection of bootstrapbase/config.php,  later revealed that the maintenance layout was incorrect and missing important options namely:

{code}
 'maintenance' => array(
        'file' => 'general.php',
        'regions' => array(),
        'options' => array('noblocks' => true, 'nofooter' => true, 'nonavbar' => true, 'nocustommenu' => true, 'nocourseheaderfooter' => true),
    ),
{code}

Also comparing it with base theme showed up other settings to.

That said, the intention of this issue is to add Base $THEME->layouts so that some continuity is maintained for future versions of Moodle.",13,16/5/2013,24/5/2013,8,Sub-task,Blocker,4
MDL-39720,Missing setType in course legacy files,"Enabled course legacy files site-wide
Enable course legacy files for particular course
Click on Administration->Course administration->Legacy course files

Did you remember to call setType() for 'contextid'? Defaulting to PARAM_RAW cleaning.

    line 1303 of /lib/formslib.php: call to debugging()
    line 281 of /lib/formslib.php: call to moodleform->detectMissingSetType()
    line 202 of /lib/formslib.php: call to moodleform->_process_submission()
    line 51 of /files/coursefilesedit.php: call to moodleform->moodleform()",4,17/5/2013,24/5/2013,7,Sub-task,Minor,4
MDL-39749,Popup as File picker/Activity chooser should be mobile friendly,"At the moment the file picker has many issues that make it not mobile friendly:
* button, icon, text, everything is quite small
* the popup should be static, fill the entire screen, ... there is no need to restrict the file picker to a portion of the screen neither it needs to be drag around the screen.
* the upload form is displayed by default but there is no need to display it. On mobile the user should click on the repository upload and it triggers the OS picker then the file form is displayed and filled up with the picked file info.
...

Obviously all this need specs first as it needs some brainstorming on the user behaviors/expectation and it also implies some technical challenges. ",2,20/5/2013,13/1/2014,238,Improvement,Critical,2
MDL-39810,IE Compatibility View problem - Moodle 2.5 repository_ajax.php tries to download in browser,"Users are encountering problems when they use IE and try to upload any file through the file resource.  

When they try and upload the file, they are asked if they wise to open or save ""repository_ajax.php"" file

The fix is to add the ""@header('Content-type: text/html; charset=utf-8');"" code snippet after line 59 (echo $OUTPUT->header(); // send headers)

So it should be:

.....
echo $OUTPUT->header(); // send headers

// add this code snippet
@header('Content-type: text/html; charset=utf-8');
// end add

.....

This was missed in 2.5 and it was included in earlier 2.x versions

https://moodle.org/mod/forum/discuss.php?d=228568

",73,24/5/2013,1/11/2013,161,Bug,Major,16
MDL-39923,Make badge notifications use internal Moodle messaging,"As discussed in the thread https://moodle.org/mod/forum/discuss.php?d=229477#p996621, Badges should be awarded in a more 'triumphant' way than with an email, such as a pop-up. Currently the user is unaware (s)he has been awarded a badge unless they check either the 'my badges' block or their emails. It would be nice if they were told immediately, preferably with some nice graphics too to give them an immediate sense of achievement.

Yuliya: This is happening because badges notifications are not going through standard Moodle messaging. Since now it is possible to send attachments using Moodle message libraries, I will update the code to make sure that badges are using them too.",31,30/5/2013,15/11/2013,169,Bug,Major,15
MDL-39962,Replace Legacy events - Mixed,"Replace all legacy events related to lti,workshop.
workshop_viewed 
lti_unknown_service_api_call 

*Replace event handlers with event observers.*
mod/workshop/allocation/scheduled/db/events.php
* workshopallocation_scheduled_workshop_viewed


Edit - quiz events moved to a separate issue. portfolio_send also moved to a separate issue.

",21,31/5/2013,27/9/2013,119,Task,Major,7
MDL-39978,Essays with files break each attempt builds on last,"This is a regression from MDL-34640.

You get a fatal error when trying to start the second attempt.",5,1/6/2013,14/6/2013,13,Bug,Major,4
MDL-40043,Replace add_to_log with an event trigger - course,"Replace the add_to_log calls in the following directories, with new events which contains the same information:

*Course*
/course/recent.php:41: add_to_log($course->id, ""course"", ""recent"", ""recent.php?id=$course->id"", $course->id);
/course/delete.php:68: add_to_log(SITEID, ""course"", ""delete"", ""view.php?id=$course->id"", ""$course->fullname (ID $course->id)"");
/course/manage.php:252: add_to_log($course->id, ""course"", ($visible ? 'show' : 'hide'), ""edit.php?id=$course->id"", $course->id);
/course/manage.php:280: add_to_log($movecourse->id, ""course"", ""move"", ""edit.php?id=$movecourse->id"", $movecourse->id);
/course/lib.php:2041: add_to_log($course->id, ""course"", ""move"", ""edit.php?id=$course->id"", $course->id);
/course/lib.php:2291: add_to_log(SITEID, 'course', 'new', 'view.php?id='.$course->id, $data->fullname.' (ID '.$course->id.')');
/course/lib.php:2380: add_to_log($course->id, ""course"", ""update"", ""edit.php?id=$course->id"", $course->id);
/course/user.php:108: add_to_log($course->id, ""course"", ""user report"", ""user.php?id=$course->id&amp;user=$user->id&amp;mode=$mode"", ""$user->id"");
/course/editsection.php:72: add_to_log($course->id, ""course"", ""editsection"", ""editsection.php?id=$id"", ""$sectionnum"");
/course/view.php:117: add_to_log($course->id, 'course', $loglabel, ""view.php?"". $logparam, $infoid);
/course/loginas.php:70: add_to_log($course->id, ""course"", ""loginas"", ""../user/view.php?id=$course->id&amp;user=$userid"", ""$oldfullname -> $newfullname"");

/index.php:79: add_to_log(SITEID, 'course', 'view', 'view.php?id='.SITEID, SITEID);
",11,6/6/2013,23/8/2013,78,Task,Major,6
