Issue ID,Issue,Issue description,#Comments,Reported date,Fixed date,DateDiff (days),Issue Type,#Contributors,Priority
MDL-61275,Collection of issues that capture the changes required to the user sign up process to comply with GDPR,To be released as a plugin with subsequent integration into core for Moodle 3.5,3,1/25/2018,5/17/2018,112,Epic,3,Minor
MDL-61297,A new popup for showing the policy links to guests,"If enabled, show guest users a popup (similar toÂ the one used for cookie-law notifications commonly), for showing the policy links which affect them.Â ",1,1/29/2018,3/22/2018,52,Improvement,1,Minor
MDL-61302,Add the workflow for allowing users to agree to the policies,Change the workflow for allowing users to agree to the policies if needed.,2,1/30/2018,3/22/2018,51,Improvement,1,Minor
MDL-61308,Implement 'request' interface for mod_assign,This is an issue to track the creation of a prototype PHP Interface for {{\core\privacy\request}} as the API negotiating Subject Access Requests in the assignment module.,31,1/30/2018,5/9/2018,99,New Feature,8,Minor
MDL-61397,Implement providers for non-data blocks,Implement the privacy provider API for blocks which have no real data.,29,2/8/2018,3/16/2018,36,New Feature,7,Critical
MDL-61463,Confirm subsystems without paths can be skipped,"The compliance check in the dataprivacy tool (MDL-61489) currently skips these components based on an empty path. Strictly speaking, they are still components.

We really need to consider whether we need to review and create providers for such components and how we'd do so (lib/classes/ ? ) 

The full list is:
access
bulkusers
countries
currencies
dbtransfer
debug
edufields
error
filepicker
help
hub
imscc
install
iso6392
langconfig
license
mathslib
mimetypes
pagetype
pix
plugin
table
timezones
userkey",4,2/16/2018,5/17/2018,90,Task,3,Minor
MDL-61475,Implement providers for mod_choice,Attempt to write mod_choice providers for the in-progress SAR API.,35,2/19/2018,3/16/2018,25,New Feature,6,Minor
MDL-61618,Connect the Data Privacy tool to the subsystem's manager to facilitate data export,"Here's what needs to be done:

1. New table 'tool_dataprivacy_request_contexts' to hold contexts for a given request
Should have cols:
- requestid
- component
- contextid
- status (for now: pending, approved, rejected but allow for more)

2. New constants in the apiÂ classÂ to hold the context statuses above (pending , approved, rejected etc)
3. 'New request made' adhoc task updates:
- generate the contextlist_collection
- for each contextlist:
** store the component, context, etc in 'tool_dataprivacy_request_contexts' table
- progress the request (current code does this already)

4. At the point of approving (before scheduling the adhoc task):
- set status of all respective contexts in the table to 'approved' (may evolve to a UI control eventually)

5. 'Request approved' adhoc task updates:
- fetch list of approved contexts (those with status 'approved')
- reassemble a contextlist collection for these using approved_contextlist instead of contextlist.
- pass to manager->export()
- TODO: consider how to 'mop up' the contexts in the 'tool_dataprivacy_request_contexts' table. Do we do now or later? (scheduled task ?)

Note: This work should be based on the tool: [https://github.com/moodlehq/moodle-tool_dataprivacy]Â and on -MDL-61307- work.",4,3/9/2018,4/9/2018,31,New Feature,3,Minor
MDL-61629,Implement core_privacy for message airnotifier.,Let's take a look atÂ messages and see if we can fully implement theÂ {{core_privacy}}Â API for at least one.,10,3/13/2018,4/6/2018,24,Improvement,5,Minor
MDL-61637,Use a context-children-based method to retrieve the list of course blocks,"tool_dataprivacy is currently fetching blocks using get_course_blocks external function, which retrieves blocks instances ready to be displayed, we want access to all block instances regardless of their contents being visible to users.",13,3/13/2018,5/13/2018,61,Task,5,Minor
